case_id,src_dir,status,steps_count,timestamp,case_size,is_priority,is_excluded,split
gsm8k-0095_20260112161018,../datasets/raw/autogen_math/fail/gsm8k-0095_20260112161018,fail,12,20260112161018,484805,True,False,train
gsm8k-0040_20260112033112,../datasets/raw/autogen_math/fail/gsm8k-0040_20260112033112,fail,12,20260112033112,488653,True,False,train
gsm8k-0081_20260112035053,../datasets/raw/autogen_math/fail/gsm8k-0081_20260112035053,fail,12,20260112035053,496235,True,False,train
gsm8k-0094_20260112035843,../datasets/raw/autogen_math/fail/gsm8k-0094_20260112035843,fail,12,20260112035843,496857,True,False,train
gsm8k-0077_20260112140549,../datasets/raw/autogen_math/fail/gsm8k-0077_20260112140549,fail,12,20260112140549,500526,True,False,train
gsm8k-0022_20260112032254,../datasets/raw/autogen_math/fail/gsm8k-0022_20260112032254,fail,12,20260112032254,501299,True,False,train
gsm8k-0010_20260112135805,../datasets/raw/autogen_math/fail/gsm8k-0010_20260112135805,fail,12,20260112135805,501858,True,False,train
gsm8k-0020_20260112135920,../datasets/raw/autogen_math/fail/gsm8k-0020_20260112135920,fail,12,20260112135920,506444,True,False,train
gsm8k-0029_20260112160428,../datasets/raw/autogen_math/fail/gsm8k-0029_20260112160428,fail,12,20260112160428,514404,True,False,train
gsm8k-0014_20260112135836,../datasets/raw/autogen_math/fail/gsm8k-0014_20260112135836,fail,12,20260112135836,516540,True,False,train
gsm8k-0054_20260112140323,../datasets/raw/autogen_math/fail/gsm8k-0054_20260112140323,fail,12,20260112140323,517636,True,False,train
gsm8k-0097_20260112035959,../datasets/raw/autogen_math/fail/gsm8k-0097_20260112035959,fail,12,20260112035959,519501,True,False,train
gsm8k-0075_20260112160832,../datasets/raw/autogen_math/fail/gsm8k-0075_20260112160832,fail,12,20260112160832,525290,True,False,train
gsm8k-0063_20260112160731,../datasets/raw/autogen_math/fail/gsm8k-0063_20260112160731,fail,12,20260112160731,530436,True,False,train
gsm8k-0012_20260112160255,../datasets/raw/autogen_math/fail/gsm8k-0012_20260112160255,fail,12,20260112160255,535486,True,False,train
gsm8k-0046_20260112140227,../datasets/raw/autogen_math/fail/gsm8k-0046_20260112140227,fail,12,20260112140227,544723,True,False,train
gsm8k-0100_20260112141917,../datasets/raw/autogen_math/fail/gsm8k-0100_20260112141917,fail,12,20260112141917,545215,True,False,train
gsm8k-0039_20260112160522,../datasets/raw/autogen_math/fail/gsm8k-0039_20260112160522,fail,12,20260112160522,577528,True,False,train
gsm8k-0454_20260111214914,../datasets/raw/autogen_math/fail/gsm8k-0454_20260111214914,fail,12,20260111214914,442800,False,False,train
gsm8k-0060_20260112034035,../datasets/raw/autogen_math/fail/gsm8k-0060_20260112034035,fail,12,20260112034035,463561,False,False,train
gsm8k-0368_20260111211040,../datasets/raw/autogen_math/fail/gsm8k-0368_20260111211040,fail,12,20260111211040,466884,False,False,train
gsm8k-0515_20260111215003,../datasets/raw/autogen_math/fail/gsm8k-0515_20260111215003,fail,12,20260111215003,473099,False,False,train
gsm8k-0610_20260111215259,../datasets/raw/autogen_math/fail/gsm8k-0610_20260111215259,fail,12,20260111215259,485547,False,False,train
gsm8k-0163_20260111210049,../datasets/raw/autogen_math/fail/gsm8k-0163_20260111210049,fail,12,20260111210049,504711,False,False,train
gsm8k-0403_20260111214831,../datasets/raw/autogen_math/fail/gsm8k-0403_20260111214831,fail,12,20260111214831,509654,False,False,train
gsm8k-0641_20260111215428,../datasets/raw/autogen_math/fail/gsm8k-0641_20260111215428,fail,12,20260111215428,514539,False,False,train
gsm8k-0306_20260111211003,../datasets/raw/autogen_math/fail/gsm8k-0306_20260111211003,fail,12,20260111211003,514571,False,False,train
gsm8k-0084_20260112035222,../datasets/raw/autogen_math/fail/gsm8k-0084_20260112035222,fail,12,20260112035222,514849,False,False,train
gsm8k-0146_20260111210017,../datasets/raw/autogen_math/fail/gsm8k-0146_20260111210017,fail,12,20260111210017,515219,False,False,train
gsm8k-0380_20260111214747,../datasets/raw/autogen_math/fail/gsm8k-0380_20260111214747,fail,12,20260111214747,518313,False,False,train
gsm8k-0230_20260111210230,../datasets/raw/autogen_math/fail/gsm8k-0230_20260111210230,fail,12,20260111210230,520484,False,False,train
