case_id,src_dir,status,steps_count,timestamp,case_size,is_priority,is_excluded,split
astropy__astropy-14365_20260112061300,../datasets/raw/adk_swe/fail/astropy__astropy-14365_20260112061300,fail,23,20260112061300,7085375,False,False,train
astropy__astropy-7166_20260114035720,../datasets/raw/adk_swe/fail/astropy__astropy-7166_20260114035720,fail,24,20260114035720,10997187,True,False,train
astropy__astropy-13977_20260112045436,../datasets/raw/adk_swe/fail/astropy__astropy-13977_20260112045436,fail,28,20260112045436,27048860,False,False,train
django__django-13417_20260114152855,../datasets/raw/adk_swe/fail/django__django-13417_20260114152855,fail,28,20260114152855,39655373,False,False,train
django__django-14534_20260114212332,../datasets/raw/adk_swe/fail/django__django-14534_20260114212332,fail,31,20260114212332,9837210,False,False,train
django__django-14155_20260114190036,../datasets/raw/adk_swe/fail/django__django-14155_20260114190036,fail,32,20260114190036,13648260,False,False,train
django__django-14315_20260114193944,../datasets/raw/adk_swe/fail/django__django-14315_20260114193944,fail,36,20260114193944,9400207,False,False,train
astropy__astropy-13033_20260111234532,../datasets/raw/adk_swe/fail/astropy__astropy-13033_20260111234532,fail,36,20260111234532,12975892,False,False,train
django__django-14170_20260114190412,../datasets/raw/adk_swe/fail/django__django-14170_20260114190412,fail,36,20260114190412,18998381,False,False,train
django__django-14034_20260114184004,../datasets/raw/adk_swe/fail/django__django-14034_20260114184004,fail,39,20260114184004,25415700,False,False,train
astropy__astropy-13236_20260114112931,../datasets/raw/adk_swe/fail/astropy__astropy-13236_20260114112931,fail,41,20260114112931,54672104,True,False,train
django__django-10973_20260114040807,../datasets/raw/adk_swe/fail/django__django-10973_20260114040807,fail,44,20260114040807,10301672,True,False,train
django__django-13568_20260114155742,../datasets/raw/adk_swe/fail/django__django-13568_20260114155742,fail,47,20260114155742,15655038,False,False,train
django__django-13401_20260114120652,../datasets/raw/adk_swe/fail/django__django-13401_20260114120652,fail,47,20260114120652,15836004,False,False,train
astropy__astropy-8707_20260112064951,../datasets/raw/adk_swe/fail/astropy__astropy-8707_20260112064951,fail,48,20260112064951,62903562,False,False,train
django__django-11292_20260112132510,../datasets/raw/adk_swe/fail/django__django-11292_20260112132510,fail,50,20260112132510,26569086,False,False,train
django__django-12308_20260113060419,../datasets/raw/adk_swe/fail/django__django-12308_20260113060419,fail,51,20260113060419,43037354,False,False,train
